"date","tm","opp","location","quarter","time","down","togo","team_score","opponent_score","yds","epb","epa","exp_pts_diff","pyds","field_goal_good","field_goal_no_good","interception","fumble","pass","complete","incomplete","sack","rush","direction"
"2011-01-02","Texans","Jaguars",6,1,13M 2S,1,6,0,0,4,5.83,5.72,-0.11,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"right"
"2011-01-02","Seahawks","Rams",7,1,12M 12S,1,7,0,0,3,5.6,5.34,-0.26,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"right"
"2011-01-02","Texans","Jaguars",2,1,12M 29S,2,2,6,0,2,5.72,7,1.28,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"right"
"2011-01-02","Seahawks","Rams",4,1,11M 43S,2,4,6,0,4,5.34,7,1.66,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"left"
"2011-01-02","Ravens","Bengals",9,1,11M 45S,1,9,0,0,3,5.14,4.95,-0.19,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"left"
"2011-01-02","Ravens","Bengals",6,1,11M 4S,2,6,0,0,-1,4.95,3.81,-1.14,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"left"
"2011-01-02","Ravens","Bengals",7,1,10M 23S,3,7,0,0,0,3.81,2.97,-0.84,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"left"
"2011-01-02","Ravens","Bengals",7,1,10M 13S,4,7,3,0,NA,2.97,3,0.03,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"2011-01-02","Falcons","Panthers",9,1,10M 57S,1,9,0,0,3,5.14,4.95,-0.19,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"left"
"2011-01-02","Falcons","Panthers",6,1,10M 11S,2,6,6,0,6,4.95,7,2.05,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"left"
"2011-01-02","Giants","Redskins",6,1,6M 40S,1,6,0,0,0,5.83,4.95,-0.88,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"left"
"2011-01-02","Giants","Redskins",6,1,6M 4S,2,6,0,0,0,4.95,4.04,-0.91,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"middle"
"2011-01-02","Giants","Redskins",6,1,5M 58S,3,6,0,0,4,4.04,3.25,-0.79,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"left"
"2011-01-02","Giants","Redskins",2,1,5M 8S,4,2,3,0,NA,3.25,3,-0.25,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"2011-01-02","Lions","Vikings",8,1,4M 28S,1,8,0,0,7,5.37,-0.28,-5.65,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"left"
"2011-01-02","Steelers","Browns",1,1,7M 0S,1,1,13,0,1,6.97,7,0.03,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"right"
"2011-01-02","Saints","Buccaneers",6,1,5M 27S,1,6,0,3,2,5.83,5.34,-0.49,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"right"
"2011-01-02","Saints","Buccaneers",4,1,4M 49S,2,4,0,3,0,5.34,4.49,-0.85,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"left"
